strain	gisaid_epi_isl
Colombia/VAC-A015/2021	EPI_ISL_2339809
Colombia/VAC-A033/2021	EPI_ISL_2339826
Colombia/VAC-A034/2021	EPI_ISL_2339827
Colombia/VAC-A035/2021	EPI_ISL_2339828
Colombia/VAC-A039/2021	EPI_ISL_2339831
Curacao/CW-RIVM-15593/2021	EPI_ISL_1232268
Denmark/DCGC-67294/2021	EPI_ISL_1875865
Ecuador/NIC-INSPI-315453/2021	EPI_ISL_2488754
Ecuador/NIC-INSPI-317071/2021	EPI_ISL_2488743
Ecuador/NIC-INSPI-317077/2021	EPI_ISL_2488721
Ecuador/NIC-INSPI-317399/2021	EPI_ISL_2348759
Ecuador/NIC-INSPI-317421/2021	EPI_ISL_2348762
Ecuador/NIC-INSPI-317496/2021	EPI_ISL_2488747
Ecuador/NIC-INSPI-317514/2021	EPI_ISL_2488738
Ecuador/NIC-INSPI-317529/2021	EPI_ISL_2488734
Ecuador/NIC-INSPI-317775/2021	EPI_ISL_2348775
Ecuador/NIC-INSPI-317785/2021	EPI_ISL_2348778
Ecuador/NIC-INSPI-34277/2021	EPI_ISL_2348789
Ecuador/USFQ-1467/2021	EPI_ISL_2492352
Egypt/ARMY-231/2021	EPI_ISL_1936134
Egypt/ARMY-267/2021	EPI_ISL_1936127
Egypt/ARMY-361/2021	EPI_ISL_1936291
Egypt/ARMY-362/2021	EPI_ISL_1936292
Egypt/ARMY-363/2021	EPI_ISL_1936293
Egypt/ARMY-364/2021	EPI_ISL_1936294
Egypt/ARMY-44/2021	EPI_ISL_1936219
Egypt/ARMY-50/2021	EPI_ISL_1936226
England/CAMC-13238EB/2021	EPI_ISL_1190007
England/CAMC-149B04F/2021	EPI_ISL_1483874
England/MILK-156082C/2021	EPI_ISL_2091916
England/MILK-1647769/2021	EPI_ISL_2540182
England/MILK-172D276/2021	EPI_ISL_2703449
France/ARA-HCL021090263901/2021	EPI_ISL_2373691
France/ARA-HCL021093672401/2021	EPI_ISL_2567341
France/ARA-HCL021093714401/2021	EPI_ISL_2373879
France/ARA-HCL021102318301/2021	EPI_ISL_2567440
France/ARA-HCL021102323201/2021	EPI_ISL_2567442
France/ARA-HCL021102330701/2021	EPI_ISL_2567447
France/ARA-HCL021106889701/2021	EPI_ISL_2629512
France/ARA-HCL021106893701/2021	EPI_ISL_2629513
France/ARA-HCL021106896801/2021	EPI_ISL_2629514
France/ARA-HCL121013006001/2021	EPI_ISL_2629568
France/BRE-IPP09890/2021	EPI_ISL_1789070
France/CVL-IPP08994/2021	EPI_ISL_1675090
Germany/BE-ChVir-LB-210305-8313/2021	EPI_ISL_1989298
Germany/BE-RKI-I-024710/2021	EPI_ISL_1154883
Germany/HH-RKI-I-056241/2021	EPI_ISL_1439856
Germany/NI-RKI-I-036106/2021	EPI_ISL_1281953
Germany/NW-HHU-2606/2021	EPI_ISL_1347531
Germany/NW-RKI-I-132957/2021	EPI_ISL_2115342
Germany/NW-RKI-I-133840/2021	EPI_ISL_2116095
Germany/NW-RKI-I-138272/2021	EPI_ISL_2123056
Germany/NW-RKI-I-144751/2021	EPI_ISL_2129061
Germany/NW-RKI-I-162367/2021	EPI_ISL_2386328
Germany/NW-RKI-I-163954/2021	EPI_ISL_2387607
Germany/NW-RKI-I-165713/2021	EPI_ISL_2389092
Germany/NW-RKI-I-165724/2021	EPI_ISL_2389102
Germany/NW-RKI-I-166830/2021	EPI_ISL_2389627
Germany/NW-RKI-I-166840/2021	EPI_ISL_2389648
Germany/NW-RKI-I-168665/2021	EPI_ISL_2469524
Germany/NW-RKI-I-168734/2021	EPI_ISL_2469586
Germany/NW-RKI-I-168840/2021	EPI_ISL_2469678
Germany/NW-RKI-I-170980/2021	EPI_ISL_2470829
Germany/SN-RKI-I-096031/2021	EPI_ISL_1842997
Germany/SN-RKI-I-097886/2021	EPI_ISL_1844201
Germany/SN-RKI-I-124434/2021	EPI_ISL_2109323
Germany/SN-RKI-I-124727/2021	EPI_ISL_2109576
Germany/SN-RKI-I-158194/2021	EPI_ISL_2313387
Germany/SN-RKI-I-180200/2021	EPI_ISL_2636631
Germany/SN-RKI-I-180241/2021	EPI_ISL_2636659
Germany/SN-RKI-I-180287/2021	EPI_ISL_2636698
Germany/ST-RKI-I-136987/2021	EPI_ISL_2120363
Germany/un-RKI-I-066300/2021	EPI_ISL_1571342
Israel/CVL-13395/2021	EPI_ISL_2183598
Israel/CVL-13396/2021	EPI_ISL_2636203
Israel/CVL-13402/2021	EPI_ISL_2183602
Israel/CVL-13408/2021	EPI_ISL_2183611
Israel/CVL-13489/2021	EPI_ISL_2183708
Israel/CVL-13495/2021	EPI_ISL_2183718
Israel/CVL-13522/2021	EPI_ISL_2183759
Israel/CVL-13528/2021	EPI_ISL_2183765
Israel/CVL-13530/2021	EPI_ISL_2183769
Israel/CVL-13532/2021	EPI_ISL_2183772
Italy/EMR-UOM-PVS_9374647401/2021	EPI_ISL_2438751
Italy/EMR-UOM-PVS_9374647501/2021	EPI_ISL_2438752
Italy/LOM-Policlinico-18834441/2021	EPI_ISL_2663247
Mexico/CMX-INMEGEN-04-05-58/2021	EPI_ISL_1711315
Mexico/CMX-InDRE_FD68553_S2554/2021	EPI_ISL_2492466
Mexico/CMX-InDRE_FD69166_S2588/2021	EPI_ISL_2492484
Mexico/CMX-InDRE_FD72696_S2930/2021	EPI_ISL_2598015
Mexico/CMX_INER_IMSS_1265/2021	EPI_ISL_2490407
Mexico/CMX_INER_IMSS_1310/2021	EPI_ISL_2490408
Mexico/HID-INMEGEN-06-02-233/2021	EPI_ISL_2692744
Mexico/NLE-InDRE_FB16184_S2574/2021	EPI_ISL_2479897
Mexico/NLE-LANGEBIO_IMSS_0847/2021	EPI_ISL_2671629
Mexico/NLE_INER_IMSS_1069/2021	EPI_ISL_2490405
Mexico/NLE_INER_IMSS_1088/2021	EPI_ISL_2490406
Mexico/QUE-InDRE_FB15486_S2520/2021	EPI_ISL_2492441
Mexico/QUE-InDRE_FB15577_S2523/2021	EPI_ISL_2492444
Mexico/QUE-InDRE_FB15578_S2524/2021	EPI_ISL_2492445
Mexico/QUE-InDRE_FB15579_S2525/2021	EPI_ISL_2492446
Mexico/QUE-InDRE_FB15593_S2526/2021	EPI_ISL_2492447
Mexico/QUE-InDRE_FB15612_S2528/2021	EPI_ISL_2492449
Mexico/QUE-InDRE_FB15633_S2529/2021	EPI_ISL_2492450
Mexico/QUE-InDRE_FB15639_S2531/2021	EPI_ISL_2492452
Mexico/QUE-InDRE_FB15668_S2532/2021	EPI_ISL_2492453
Mexico/QUE-InDRE_FB15669_S2533/2021	EPI_ISL_2492454
Mexico/QUE-InDRE_FB15670_S2534/2021	EPI_ISL_2492455
Mexico/QUE-InDRE_FB15671_S2535/2021	EPI_ISL_2492456
Mexico/QUE-InDRE_FB15771_S2539/2021	EPI_ISL_2492459
Mexico/QUE-InDRE_FB15780_S2541/2021	EPI_ISL_2492460
Mexico/QUE-InDRE_FB15781_S2542/2021	EPI_ISL_2492461
Mexico/QUE-InDRE_FB16151_S2557/2021	EPI_ISL_2492469
Mexico/QUE-InDRE_FB16438_S2825/2021	EPI_ISL_2597997
Mexico/QUE-InDRE_FB16439_S2826/2021	EPI_ISL_2597998
Mexico/QUE-InDRE_FB16440_S2827/2021	EPI_ISL_2597999
Mexico/QUE-InDRE_FB16443_S2829/2021	EPI_ISL_2598001
Mexico/SIN-InDRE_FB16070_S2605/2021	EPI_ISL_2479908
Mexico/SIN_INER_IMSS_00840/2021	EPI_ISL_2091291
Mexico/SLP_INER_IMSS_00935/2021	EPI_ISL_2091380
Mexico/TAB-InDRE_FB16942_S3401/2021	EPI_ISL_2688824
Mexico/TAB-InDRE_FB16946_S3403/2021	EPI_ISL_2688826
Mexico/TAB-InDRE_FB17011_S3404/2021	EPI_ISL_2688827
Mexico/TAB-InDRE_FB17201_S3405/2021	EPI_ISL_2688828
Mexico/VER-InDRE_FB17089_S3408/2021	EPI_ISL_2688831
Mexico/YUC-InDRE_FB13187_S1693/2021	EPI_ISL_1857253
Mexico/YUC-InDRE_FB16604_S2847/2021	EPI_ISL_2545749
Netherlands/UT-RIVM-37443/2021	EPI_ISL_2476296
Peru/AMA-INS-934/2021	EPI_ISL_2536708
Peru/ANC-INS-1040/2021	EPI_ISL_2536809
Peru/ANC-INS-1042/2021	EPI_ISL_2536811
Peru/ANC-INS-1044/2021	EPI_ISL_2536812
Peru/ANC-INS-1045/2021	EPI_ISL_2536813
Peru/ANC-INS-1057/2021	EPI_ISL_2536825
Peru/APU-INS-1027/2021	EPI_ISL_2536797
Peru/APU-INS-1089/2021	EPI_ISL_2536853
Peru/APU-INS-1091/2021	EPI_ISL_2536855
Peru/ARE-INS-1035/2021	EPI_ISL_2536804
Peru/CAL-INS-1017/2021	EPI_ISL_2536788
Peru/CAL-INS-667/2021	EPI_ISL_1111127
Peru/CAL-INS-668/2021	EPI_ISL_1111128
Peru/CAL-INS-670/2021	EPI_ISL_1111130
Peru/CAL-INS-965/2021	EPI_ISL_2536738
Peru/CAL-INS-969/2021	EPI_ISL_2536742
Peru/CAL-INS-971/2021	EPI_ISL_2536744
Peru/CAL-INS-972/2021	EPI_ISL_2536745
Peru/CUS-INS-1116/2021	EPI_ISL_2536878
Peru/CUS-INS-1121/2021	EPI_ISL_2536883
Peru/CUS-INS-1127/2021	EPI_ISL_2536889
Peru/HUN-INS-1051/2021	EPI_ISL_2536819
Peru/HUN-INS-1053/2021	EPI_ISL_2536821
Peru/ICA-INS-1078/2021	EPI_ISL_2536843
Peru/LAM-INS-1099/2021	EPI_ISL_2536862
Peru/LAM-INS-278/2020	EPI_ISL_1093172
Peru/LAM-INS-804/2020	EPI_ISL_1532199
Peru/LIM-INS-1001/2021	EPI_ISL_2536773
Peru/LIM-INS-1002/2021	EPI_ISL_2536774
Peru/LIM-INS-1003/2021	EPI_ISL_2536775
Peru/LIM-INS-1004/2021	EPI_ISL_2536776
Peru/LIM-INS-1012/2021	EPI_ISL_2536783
Peru/LIM-INS-1015/2021	EPI_ISL_2536786
Peru/LIM-INS-1016/2021	EPI_ISL_2536787
Peru/LIM-INS-1018/2021	EPI_ISL_2536789
Peru/LIM-INS-1024/2021	EPI_ISL_2536794
Peru/LIM-INS-1026/2021	EPI_ISL_2536796
Peru/LIM-INS-1050/2021	EPI_ISL_2536818
Peru/LIM-INS-386/2021	EPI_ISL_1111284
Peru/LIM-INS-387/2021	EPI_ISL_1111285
Peru/LIM-INS-393/2021	EPI_ISL_1111291
Peru/LIM-INS-397/2021	EPI_ISL_1111295
Peru/LIM-INS-398/2021	EPI_ISL_1111296
Peru/LIM-INS-404/2021	EPI_ISL_1111302
Peru/LIM-INS-418/2021	EPI_ISL_1111316
Peru/LIM-INS-419/2021	EPI_ISL_1111317
Peru/LIM-INS-420/2021	EPI_ISL_1111318
Peru/LIM-INS-421/2021	EPI_ISL_1111319
Peru/LIM-INS-423/2021	EPI_ISL_1111321
Peru/LIM-INS-424/2021	EPI_ISL_1111322
Peru/LIM-INS-430/2021	EPI_ISL_1111328
Peru/LIM-INS-433/2021	EPI_ISL_1111331
Peru/LIM-INS-434/2021	EPI_ISL_1111332
Peru/LIM-INS-436/2021	EPI_ISL_1111334
Peru/LIM-INS-437/2021	EPI_ISL_1111335
Peru/LIM-INS-443/2021	EPI_ISL_1111341
Peru/LIM-INS-731/2021	EPI_ISL_1138413
Peru/LIM-INS-734/2021	EPI_ISL_1138416
Peru/LIM-INS-737/2021	EPI_ISL_1138418
Peru/LIM-INS-869/2020	EPI_ISL_1534645
Peru/LIM-INS-895/2020	EPI_ISL_1534667
Peru/LIM-INS-976/2021	EPI_ISL_2536749
Peru/LIM-INS-977/2021	EPI_ISL_2536750
Peru/LIM-INS-993/2021	EPI_ISL_2536765
Peru/LIM-INS-995/2021	EPI_ISL_2536767
Peru/LIM-INS-996/2021	EPI_ISL_2536768
Peru/LIM-INS-998/2021	EPI_ISL_2536770
Peru/LIM-INS-999/2021	EPI_ISL_2536771
Peru/LIM-UPCH-0434/2021	EPI_ISL_1629788
Peru/LIM-UPCH-0438/2021	EPI_ISL_1629790
Peru/LIM-UPCH-0459/2021	EPI_ISL_1629799
Peru/LIM-UPCH-0468/2021	EPI_ISL_1629806
Peru/LIM-UPCH-0470/2021	EPI_ISL_1629807
Peru/PAS-INS-979/2021	EPI_ISL_2536752
Peru/PAS-INS-980/2021	EPI_ISL_2536753
Peru/PAS-INS-986/2021	EPI_ISL_2536758
Peru/PAS-INS-987/2021	EPI_ISL_2536759
Peru/PAS-INS-988/2021	EPI_ISL_2536760
Peru/PAS-INS-989/2021	EPI_ISL_2536761
Peru/PAS-INS-992/2021	EPI_ISL_2536764
Peru/PIU-INS-1028/2021	EPI_ISL_2536798
Peru/PIU-INS-1029/2021	EPI_ISL_2536799
Peru/PIU-INS-1030/2021	EPI_ISL_2536800
Peru/PIU-INS-1069/2021	EPI_ISL_2536836
Peru/PIU-INS-1123/2021	EPI_ISL_2536885
Peru/SAM-INS-956/2021	EPI_ISL_2536729
Spain/CT-HUB00985/2021	EPI_ISL_2637306
Spain/IB-HUSE-00848/2021	EPI_ISL_2534428
Spain/IB-HUSE-01046/2021	EPI_ISL_2710226
Spain/IB-HUSE-01069/2021	EPI_ISL_2710246
Spain/MD-HGUGM-508044/2021	EPI_ISL_1647950
Spain/MD-HGUGM-678178/2021	EPI_ISL_2402466
Spain/MD-HGUGM-688740/2021	EPI_ISL_2483981
Spain/NC-CHN-01003346/2021	EPI_ISL_2516681
Spain/NC-CHN-01003416/2021	EPI_ISL_2516750
Switzerland/GE-011414837201/2021	EPI_ISL_2403757
Switzerland/GE-DIA011415826301/2021	EPI_ISL_2433660
Switzerland/GE-DIA011415952501/2021	EPI_ISL_2433667
Switzerland/GE-HUG-34114399/2021	EPI_ISL_2213596
Switzerland/GE-HUG-34476587/2021	EPI_ISL_2681470
Turkey/HSGM-B12478/2021	EPI_ISL_2232673
USA/AL-CDC-ASC210028968/2021	EPI_ISL_2041439
USA/AR-CDC-LC0034027/2021	EPI_ISL_1514932
USA/AZ-ASPHL-4020/2021	EPI_ISL_2382372
USA/AZ-ASU4125/2021	EPI_ISL_1743604
USA/AZ-ASU5012/2021	EPI_ISL_2007185
USA/AZ-CDC-ASC210028064/2021	EPI_ISL_1688569
USA/AZ-CDC-LC0035336/2021	EPI_ISL_1515705
USA/AZ-CDC-LC0068701/2021	EPI_ISL_2482012
USA/AZ-CDC-STM-000068391/2021	EPI_ISL_2247685
USA/AZ-CDC-STM-000071508/2021	EPI_ISL_2320917
USA/CA-CDC-ASC210031529/2021	EPI_ISL_2149605
USA/CA-CDC-ASC210051568/2021	EPI_ISL_1836580
USA/CA-CDC-ASC210055598/2021	EPI_ISL_1996745
USA/CA-CDC-ASC210056478/2021	EPI_ISL_1996086
USA/CA-CDC-ASC210058962/2021	EPI_ISL_2147245
USA/CA-CDC-ASC210059287/2021	EPI_ISL_2146077
USA/CA-CDC-ASC210062157/2021	EPI_ISL_2181581
USA/CA-CDC-ASC210062168/2021	EPI_ISL_2181591
USA/CA-CDC-ASC210064415/2021	EPI_ISL_2281111
USA/CA-CDC-ASC210068269/2021	EPI_ISL_1999914
USA/CA-CDC-LC0044732/2021	EPI_ISL_1798440
USA/CA-CDC-LC0058972/2021	EPI_ISL_2185251
USA/CA-CDC-LC0059127/2021	EPI_ISL_2185244
USA/CA-CDC-LC0059848/2021	EPI_ISL_2305093
USA/CA-CDC-STM-000048658/2021	EPI_ISL_1679713
USA/CA-CDC-STM-000050064/2021	EPI_ISL_1679523
USA/CA-CDC-STM-000052980/2021	EPI_ISL_1796275
USA/CA-CDC-STM-000053414/2021	EPI_ISL_1796639
USA/CA-CDC-STM-000055214/2021	EPI_ISL_1804122
USA/CA-CDC-STM-000055553/2021	EPI_ISL_1803709
USA/CA-CDC-STM-000058935/2021	EPI_ISL_1923355
USA/CA-CDC-STM-000060865/2021	EPI_ISL_2010005
USA/CA-CDC-STM-000061005/2021	EPI_ISL_2010215
USA/CA-CDC-STM-000063259/2021	EPI_ISL_2097899
USA/CA-CDC-STM-000065853/2021	EPI_ISL_2145000
USA/CA-CDC-STM-000068823/2021	EPI_ISL_2248146
USA/CA-CZB-30385/2021	EPI_ISL_1821399
USA/CA-CZB-31355/2021	EPI_ISL_2103034
USA/CA-CZB-31927/2021	EPI_ISL_2500057
USA/CA-CZB-32348/2021	EPI_ISL_2497684
USA/CA-CZB-32423/2021	EPI_ISL_2497674
USA/CA-CZB-33326/2021	EPI_ISL_2496888
USA/CA-SC-252696/2021	EPI_ISL_2650579
